dataset,pair,delta,epsilon,fraction,N,runs,gap,cohort
composite,33,-0.032274911217881,0.02,0.6177807952092473,9574,30,0.012274911217881001,random
composite,34,-0.18769584290787503,0.02,0.015980781282640483,9574,30,0.16769584290787504,random
composite,35,0.180802172550658,0.02,0.01739433187103962,9574,30,0.160802172550658,random
composite,36,0.003029036975141,0.02,0.5521238075342942,9574,30,0.016970963024859,random
composite,37,0.042615416753707,0.02,0.3198941577884548,9574,30,0.022615416753707002,random
composite,38,0.056820555671610005,0.02,0.1421523570781979,9574,30,0.03682055567161001,random
composite,39,-0.10037601838312,0.02,0.03518557203537358,9574,30,0.08037601838312,random
composite,40,0.11290996448715201,0.02,0.028949933848617784,9574,30,0.09290996448715201,random
composite,41,-0.032170461667014004,0.02,0.7127602534642434,9574,30,0.012170461667014004,random
composite,42,-0.005535826195947001,0.02,0.5581818814845764,9574,30,0.014464173804053,random
composite,43,0.042197618550240006,0.02,0.29264326996727247,9574,30,0.022197618550240005,random
composite,44,-0.047420096093586,0.02,0.2648353178747998,9574,30,0.027420096093586,random
composite,45,0.0013578441612700002,0.02,0.5478030777800988,9574,30,0.01864215583873,random
composite,46,-0.089722164194693,0.02,0.07220249286261402,9574,30,0.069722164194693,random
composite,47,-0.036035095049091005,0.02,0.5395132650929602,9574,30,0.016035095049091005,random
composite,48,0.09776477961144701,0.02,0.0476150685885384,9574,30,0.07776477961144701,random
composite,49,0.18894923751827802,0.02,0.015280969291832045,9574,30,0.16894923751827803,random
composite,50,-0.004804679339878,0.02,0.5224009470092612,9574,30,0.015195320660122,random
composite,51,0.241174012951744,0.02,0.009473574263630666,9574,30,0.22117401295174402,random
composite,52,0.011802799247963,0.02,0.8243228187452127,9574,30,0.008197200752037,random
composite,53,0.19563400877376202,0.02,0.013070120465148665,9574,30,0.17563400877376203,random
composite,54,0.168268226446626,0.02,0.01938235498920688,9574,30,0.14826822644662602,random
composite,55,-0.08209734698140701,0.02,0.06786435484994081,9574,30,0.06209734698140701,random
composite,56,-0.201796532274911,0.02,0.012471276373511593,9574,30,0.18179653227491102,random
composite,57,0.18226446626279502,0.02,0.014170322400947009,9574,30,0.16226446626279503,random
composite,58,-0.023814497597660002,0.02,0.9271046584499686,9574,30,0.0038144975976600014,random
composite,59,0.069145602673908,0.02,0.08266833785948054,9574,30,0.049145602673907995,random
composite,60,-0.24294965531648202,0.02,0.011109950560545923,9574,30,0.22294965531648203,random
composite,61,0.112178817631084,0.02,0.03147413132790196,9574,30,0.092178817631084,random
composite,62,0.26780864842281105,0.02,0.0077014135505883985,9574,30,0.24780864842281106,random
composite,63,-0.032692709421349005,0.02,0.62634217672864,9574,30,0.012692709421349004,random
composite,64,-0.038855232922498005,0.02,0.3973504630596755,9574,30,0.018855232922498005,random
composite,65,-0.175057447252976,0.02,0.01740129517443075,9574,30,0.15505744725297602,random
composite,66,0.007102569458951001,0.02,0.6886045540004179,9574,30,0.012897430541048999,random
composite,67,-0.1184457906831,0.02,0.025464800501357843,9574,30,0.0984457906831,random
composite,68,0.152600793816586,0.02,0.02044774040804958,9574,30,0.13260079381658602,random
composite,69,0.010444955086693,0.02,0.7095466889492374,9574,30,0.009555044913307,random
composite,70,0.009609358679757,0.02,0.6049195738458324,9574,30,0.010390641320243,random
composite,71,0.021412157927720003,0.02,0.9653784555393078,9574,30,0.0014121579277200022,random
composite,72,0.021307708376853002,0.02,0.9455017060093308,9574,30,0.0013077083768530014,random
composite,73,0.032692709421349005,0.02,0.6543242114058909,9574,30,0.012692709421349004,random
composite,74,-0.006998119908084001,0.02,0.6252280481860595,9574,30,0.013001880091916,random
composite,75,-0.021203258825987,0.02,0.9662976115869368,9574,30,0.0012032588259869997,random
composite,76,0.081366200125339,0.02,0.09116008634496205,9574,30,0.061366200125339,random
composite,77,0.097555880509713,0.02,0.05545574820694938,9574,30,0.077555880509713,random
composite,78,-0.18341341132233102,0.02,0.016617923542928768,9574,30,0.16341341132233103,random
composite,79,0.018592020054313003,0.02,0.9658310702597313,9574,30,0.0014079799456869976,random
composite,80,0.018905368706914002,0.02,0.9487640136480747,9574,30,0.0010946312930859986,random
composite,81,0.051284729475663,0.02,0.2583107025973122,9574,30,0.031284729475663006,random
composite,82,0.30436599122623703,0.02,0.007506441055636794,9574,30,0.284365991226237,random
composite,83,0.025276791309797,0.02,0.963115381937191,9574,30,0.005276791309797,random
composite,84,0.06120743680802101,0.02,0.13037392939210363,9574,30,0.04120743680802101,random
composite,85,-0.133382076457071,0.02,0.021398231320938654,9574,30,0.113382076457071,random
composite,86,0.10726968874033802,0.02,0.03948541187939558,9574,30,0.08726968874033801,random
composite,87,-0.08721537497388701,0.02,0.04840540352343151,9574,30,0.06721537497388701,random
composite,88,-0.201900981825778,0.02,0.012224079103126523,9574,30,0.18190098182577802,random
composite,89,0.123459369124712,0.02,0.03587145741939977,9574,30,0.103459369124712,random
composite,90,-0.224253185711301,0.02,0.011531230415709214,9574,30,0.20425318571130102,random
composite,91,0.12116147900564,0.02,0.030955365225262866,9574,30,0.10116147900564,random
composite,92,-0.013787340714434002,0.02,0.9422916231460206,9574,30,0.0062126592855659985,random
composite,93,0.10288280760392701,0.02,0.04625026112387717,9574,30,0.08288280760392701,random
composite,94,0.039690829329433006,0.02,0.3744342315994708,9574,30,0.019690829329433005,random
composite,95,-0.132128681846668,0.02,0.028998676972355687,9574,30,0.11212868184666801,random
composite,96,-0.08335074159181101,0.02,0.07788803008147065,9574,30,0.063350741591811,random
composite,97,0.011280551493628001,0.02,0.8035861012464313,9574,30,0.008719448506372,random
composite,98,-0.268330896177146,0.02,0.007906831000626698,9574,30,0.24833089617714602,random
composite,99,-0.009818257781491,0.02,0.7800292458742427,9574,30,0.010181742218509,random
gsm8k,0,-0.22358346094946402,0.02,0.07417049515058703,1306,30,0.20358346094946403,random
gsm8k,1,0.269525267993874,0.02,0.054645227156712606,1306,30,0.249525267993874,random
gsm8k,2,0.013782542113323,0.02,0.9871873404798367,1306,30,0.006217457886677,random
gsm8k,3,-0.14624808575803902,0.02,0.12460438999489536,1306,30,0.12624808575803903,random
gsm8k,4,0.259571209800918,0.02,0.05454313425216947,1306,30,0.23957120980091803,random
gsm8k,5,-0.07886676875957101,0.02,0.3628892291985707,1306,30,0.058866768759571,random
gsm8k,6,-0.030627871362940002,0.02,0.9669984686064319,1306,30,0.010627871362940002,random
gsm8k,7,-0.31240428790199004,0.02,0.04433384379785605,1306,30,0.29240428790199,random
gsm8k,8,0.13246554364471602,0.02,0.17276671771311894,1306,30,0.11246554364471602,random
gsm8k,9,0.131699846860643,0.02,0.1750127616130679,1306,30,0.111699846860643,random
gsm8k,10,0.0030627871362940004,0.02,0.9434915773353753,1306,30,0.016937212863706,random
gsm8k,11,-0.5053598774885141,0.02,0.025548749361919348,1306,30,0.48535987748851406,random
gsm8k,12,0.35298621745788605,0.02,0.03940786115364982,1306,30,0.33298621745788604,random
gsm8k,13,0.286370597243491,0.02,0.04908116385911179,1306,30,0.266370597243491,random
gsm8k,14,-0.226646248085758,0.02,0.0649055640632976,1306,30,0.20664624808575802,random
