dataset,method,pairs,fraction,bootstrap_lower,bootstrap_upper
hellaswag,hoeffding_grid,100,0.6028502305492325,0.534915214790171,0.6679717912799858
hellaswag,normal_peeking,100,0.0995506916476974,0.07710518152104126,0.12322849909531311
hellaswag,separate_arm,100,0.5704270121986809,0.502718489172941,0.6393551100215957
hellaswag,serfling_spending,100,0.6689730344948345,0.6055289412245374,0.7303545132201016
mmlu-pro,completion,100,0.88398202016844,0.8687866626496011,0.8994607137910019
mmlu-pro,eb_grid,100,0.14930726396276595,0.09895021193484044,0.20481870013297865
mmlu-pro,eb_predictable,100,0.15990417220744682,0.10545919838763297,0.22082422498337761
mmlu-pro,fixed_plugin_0.1,100,0.10006648936170208,0.10006648936170208,0.10006648936170208
mmlu-pro,fixed_plugin_0.25,100,0.25,0.25,0.25
mmlu-pro,fixed_plugin_0.5,100,0.5,0.5,0.5
mmlu-pro,hoeffding_grid,100,0.22669146165780144,0.16404139863142733,0.2931846735095301
mmlu-pro,normal_peeking,100,0.04266162455673759,0.02620027011303192,0.060977780779033666
mmlu-pro,separate_arm,100,0.22723961103723403,0.16631106701573578,0.293021778728945
mmlu-pro,serfling_spending,100,0.26147010749113475,0.19654503823138295,0.33038577266179076
truthfulqa,completion,100,0.887595238095238,0.8690933747412011,0.9057008152173913
truthfulqa,eb_grid,100,0.49053881987577647,0.4256334368530021,0.5577454063146997
truthfulqa,eb_predictable,100,0.44293944099378885,0.3724971532091098,0.5112152820910971
truthfulqa,fixed_plugin_0.1,100,0.10093167701863352,0.10093167701863352,0.10093167701863352
truthfulqa,fixed_plugin_0.25,100,0.25,0.25,0.25
truthfulqa,fixed_plugin_0.5,100,0.5,0.5,0.5
truthfulqa,hoeffding_grid,100,0.6101889233954452,0.5423344849896481,0.6776009963768115
truthfulqa,normal_peeking,100,0.20827795031055898,0.16671198240165627,0.25143416149068326
truthfulqa,separate_arm,100,0.6206749482401657,0.5568535584886128,0.6831115942028982
truthfulqa,serfling_spending,100,0.670628364389234,0.6076145833333333,0.7330552665631469
winogrande,completion,100,0.9585687400318981,0.9518409330143541,0.9649118181818183
winogrande,eb_grid,100,0.6849218500797448,0.6311417464114835,0.7376123444976076
winogrande,eb_predictable,100,0.6520510366826155,0.5938473285486444,0.7117251275917065
winogrande,fixed_plugin_0.1,100,0.10047846889952149,0.10047846889952149,0.10047846889952149
winogrande,fixed_plugin_0.25,100,0.25071770334928223,0.25071770334928223,0.25071770334928223
winogrande,fixed_plugin_0.5,100,0.5004784688995215,0.5004784688995215,0.5004784688995215
winogrande,hoeffding_grid,100,0.8438478468899521,0.8052437639553429,0.8804023763955344
winogrande,normal_peeking,100,0.3004800637958533,0.25953523923444977,0.3439564274322168
winogrande,separate_arm,100,0.839951515151515,0.8021655263157894,0.8764975917065392
winogrande,serfling_spending,100,0.9017333333333333,0.872780398724083,0.9286036842105264
