dataset,method,truth,runs,fraction,error_rate
mmlu-pro,fixed_plugin_0.1,E,270,0.10006648936170212,0.17407407407407408
mmlu-pro,fixed_plugin_0.25,A,1170,0.25,0.023931623931623933
mmlu-pro,fixed_plugin_0.25,B,1560,0.25,0.01217948717948718
mmlu-pro,fixed_plugin_0.25,E,270,0.25,0.08518518518518518
mmlu-pro,fixed_plugin_0.5,A,1170,0.5,0.017094017094017096
mmlu-pro,fixed_plugin_0.5,B,1560,0.5,0.009615384615384616
mmlu-pro,fixed_plugin_0.5,E,270,0.5,0.037037037037037035
mmlu-pro,hoeffding_grid,A,1170,0.16465792075831967,0.0
mmlu-pro,hoeffding_grid,B,1560,0.15305424849972724,0.0
mmlu-pro,hoeffding_grid,E,270,0.9209629260244288,0.0
mmlu-pro,normal_peeking,A,1170,0.03165135138206947,0.03076923076923077
mmlu-pro,normal_peeking,B,1560,0.02637640437465903,0.02435897435897436
mmlu-pro,normal_peeking,E,270,0.18446519158786445,0.17407407407407408
mmlu-pro,separate_arm,A,1170,0.16673535813329696,0.0
mmlu-pro,separate_arm,B,1560,0.15315627344176214,0.0
mmlu-pro,separate_arm,E,270,0.9174617686170213,0.0
mmlu-pro,serfling_spending,A,1170,0.19944499852245864,0.0
mmlu-pro,serfling_spending,B,1560,0.18919063054078014,0.0
mmlu-pro,serfling_spending,E,270,0.9478603354018913,0.0
truthfulqa,completion,A,1260,0.8882936507936507,0.0
truthfulqa,completion,B,1470,0.8679458740017747,0.0
truthfulqa,completion,E,270,0.9913158500115021,0.0
truthfulqa,eb_grid,A,1260,0.47639628315094157,0.0
truthfulqa,eb_grid,B,1470,0.4121741243081083,0.0
truthfulqa,eb_grid,E,270,0.9831895560156431,0.0
truthfulqa,eb_predictable,A,1260,0.4229899930986888,0.0
truthfulqa,eb_predictable,B,1470,0.3613248404952043,0.0
truthfulqa,eb_predictable,E,270,0.9803830227743272,0.0
truthfulqa,fixed_plugin_0.1,A,1260,0.10093167701863354,0.12698412698412698
truthfulqa,fixed_plugin_0.1,B,1470,0.10093167701863355,0.10068027210884353
truthfulqa,fixed_plugin_0.1,E,270,0.10093167701863354,0.6370370370370371
truthfulqa,fixed_plugin_0.25,A,1260,0.25,0.0746031746031746
truthfulqa,fixed_plugin_0.25,B,1470,0.25,0.06666666666666667
truthfulqa,fixed_plugin_0.25,E,270,0.25,0.3814814814814815
truthfulqa,fixed_plugin_0.5,A,1260,0.5,0.044444444444444446
truthfulqa,fixed_plugin_0.5,B,1470,0.5,0.03197278911564626
truthfulqa,fixed_plugin_0.5,E,270,0.5,0.24444444444444444
truthfulqa,hoeffding_grid,A,1260,0.6116829340431825,0.0
truthfulqa,hoeffding_grid,B,1470,0.5389054379515782,0.0
truthfulqa,hoeffding_grid,E,270,0.9913158500115021,0.0
truthfulqa,normal_peeking,A,1260,0.1752711229419304,0.05317460317460317
truthfulqa,normal_peeking,B,1470,0.16279312967422993,0.0326530612244898
truthfulqa,normal_peeking,E,270,0.609949390384173,0.15925925925925927
truthfulqa,separate_arm,A,1260,0.6238440303657695,0.0
truthfulqa,separate_arm,B,1470,0.5499186631174209,0.0
truthfulqa,separate_arm,E,270,0.9911145617667357,0.0
truthfulqa,serfling_spending,A,1260,0.6746573991915606,0.0
truthfulqa,serfling_spending,B,1470,0.6082731229137618,0.0
truthfulqa,serfling_spending,E,270,0.9913158500115021,0.0
winogrande,completion,A,1170,0.9519036519036519,0.0
winogrande,completion,B,1140,0.9464492571140771,0.0
winogrande,completion,E,690,0.98989390472228,0.0
winogrande,eb_grid,A,1170,0.6245123297754877,0.0
winogrande,eb_grid,B,1140,0.5803382859061529,0.0
winogrande,eb_grid,E,690,0.9601456209694196,0.0
winogrande,eb_predictable,A,1170,0.5806346869504764,0.0
winogrande,eb_predictable,B,1140,0.5385645933014355,0.0
winogrande,eb_predictable,E,690,0.9606476665973234,0.0
winogrande,fixed_plugin_0.1,A,1170,0.10047846889952153,0.19316239316239317
winogrande,fixed_plugin_0.1,B,1140,0.10047846889952153,0.1692982456140351
winogrande,fixed_plugin_0.1,E,690,0.10047846889952153,0.4971014492753623
winogrande,fixed_plugin_0.25,A,1170,0.2507177033492823,0.10598290598290598
winogrande,fixed_plugin_0.25,B,1140,0.2507177033492823,0.09035087719298246
winogrande,fixed_plugin_0.25,E,690,0.2507177033492823,0.36376811594202896
winogrande,fixed_plugin_0.5,A,1170,0.5004784688995215,0.05555555555555555
winogrande,fixed_plugin_0.5,B,1140,0.5004784688995215,0.03859649122807018
winogrande,fixed_plugin_0.5,E,690,0.5004784688995215,0.21884057971014492
winogrande,hoeffding_grid,A,1170,0.8168404694720485,0.0
winogrande,hoeffding_grid,B,1140,0.7831696466045496,0.0
winogrande,hoeffding_grid,E,690,0.98989390472228,0.0
winogrande,normal_peeking,A,1170,0.23836093730830574,0.062393162393162394
winogrande,normal_peeking,B,1140,0.21489465290019308,0.04912280701754386
winogrande,normal_peeking,E,690,0.5472144788849594,0.13623188405797101
winogrande,separate_arm,A,1170,0.8128704044493519,0.0
winogrande,separate_arm,B,1140,0.7784638630067994,0.0
winogrande,separate_arm,E,690,0.9874599542334095,0.0
winogrande,serfling_spending,A,1170,0.8864703717335297,0.0
winogrande,serfling_spending,B,1140,0.8640376059766642,0.0
winogrande,serfling_spending,E,690,0.98989390472228,0.0
