case,N,q,gap,delta,epsilon,variance,method,runs,fraction,errors,error_upper
N1000_q0.8_o-0.002,1000,0.8,0.002,0.018000000000000002,0.02,0.799675999999999,eb_grid,300,0.9985766666666666,0,0.012220974694293552
N1000_q0.8_o-0.002,1000,0.8,0.002,0.018000000000000002,0.02,0.799675999999999,planned_gaussian,300,0.9670533333333333,13,0.0729614642202821
N1000_q0.8_o-0.004,1000,0.8,0.004,0.016,0.02,0.799744,direct_betting,300,0.9815933333333333,5,0.038463744964996424
N1000_q0.8_o-0.004,1000,0.8,0.004,0.016,0.02,0.799744,eb_grid,300,0.9965833333333334,0,0.012220974694293552
N1000_q0.8_o-0.004,1000,0.8,0.004,0.016,0.02,0.799744,planned_gaussian,300,0.9642933333333333,12,0.0688289881894961
N1000_q0.8_o-0.01,1000,0.8,0.01,0.01,0.02,0.7998999999999991,direct_betting,300,0.9873166666666666,1,0.018431252048067885
N1000_q0.8_o-0.01,1000,0.8,0.01,0.01,0.02,0.7998999999999991,eb_grid,300,0.9904166666666666,0,0.012220974694293552
N1000_q0.8_o-0.01,1000,0.8,0.01,0.01,0.02,0.7998999999999991,planned_gaussian,300,0.9743733333333334,8,0.05186581196093096
N1000_q0.8_o-0.02,1000,0.8,0.02,0.0,0.02,0.8,direct_betting,300,0.9768133333333333,2,0.02387349757217365
N1000_q0.8_o-0.02,1000,0.8,0.02,0.0,0.02,0.8,eb_grid,300,0.9833333333333333,0,0.012220974694293552
N1000_q0.8_o-0.02,1000,0.8,0.02,0.0,0.02,0.8,planned_gaussian,300,0.9746566666666666,8,0.05186581196093096
N1000_q0.8_o0,1000,0.8,0.0,0.02,0.02,0.7995999999999991,direct_betting,300,0.9985133333333333,1,0.018431252048067885
N1000_q0.8_o0,1000,0.8,0.0,0.02,0.02,0.7995999999999991,eb_grid,300,0.9997966666666668,1,0.018431252048067885
N1000_q0.8_o0,1000,0.8,0.0,0.02,0.02,0.7995999999999991,planned_gaussian,300,0.9783933333333332,8,0.05186581196093096
N1000_q0.8_o0.002,1000,0.8,0.001999999999999,0.022,0.02,0.7995160000000001,direct_betting,300,0.9947366666666666,5,0.038463744964996424
N1000_q0.8_o0.002,1000,0.8,0.001999999999999,0.022,0.02,0.7995160000000001,eb_grid,300,0.9989366666666666,0,0.012220974694293552
N1000_q0.8_o0.002,1000,0.8,0.001999999999999,0.022,0.02,0.7995160000000001,planned_gaussian,300,0.9673966666666667,4,0.03378489626191785
N1000_q0.8_o0.004,1000,0.8,0.004,0.024,0.02,0.799424,direct_betting,300,0.9824733333333334,2,0.02387349757217365
N1000_q0.8_o0.004,1000,0.8,0.004,0.024,0.02,0.799424,eb_grid,300,0.9967766666666668,0,0.012220974694293552
N1000_q0.8_o0.004,1000,0.8,0.004,0.024,0.02,0.799424,planned_gaussian,300,0.9506766666666666,3,0.028944511255692605
N1000_q0.8_o0.01,1000,0.8,0.009999999999999001,0.03,0.02,0.799099999999999,direct_betting,300,0.9758033333333332,4,0.03378489626191785
N1000_q0.8_o0.01,1000,0.8,0.009999999999999001,0.03,0.02,0.799099999999999,eb_grid,300,0.9871233333333334,0,0.012220974694293552
N1000_q0.8_o0.01,1000,0.8,0.009999999999999001,0.03,0.02,0.799099999999999,planned_gaussian,300,0.9424233333333333,5,0.038463744964996424
N1000_q0.8_o0.02,1000,0.8,0.02,0.04,0.02,0.7983999999999991,direct_betting,300,0.9456,1,0.018431252048067885
N1000_q0.8_o0.02,1000,0.8,0.02,0.04,0.02,0.7983999999999991,eb_grid,300,0.9708866666666668,0,0.012220974694293552
N1000_q0.8_o0.02,1000,0.8,0.02,0.04,0.02,0.7983999999999991,planned_gaussian,300,0.9464733333333334,2,0.02387349757217365
N1000_q0.8_o0.04,1000,0.8,0.039999999999999,0.06,0.02,0.7963999999999991,direct_betting,300,0.8453666666666667,1,0.018431252048067885
N1000_q0.8_o0.04,1000,0.8,0.039999999999999,0.06,0.02,0.7963999999999991,eb_grid,300,0.8946666666666666,0,0.012220974694293552
N1000_q0.8_o0.04,1000,0.8,0.039999999999999,0.06,0.02,0.7963999999999991,planned_gaussian,300,0.8607966666666665,0,0.012220974694293552
N5000_q0.05_o-0.002,5000,0.05,0.002,0.018000000000000002,0.02,0.049675999999999006,direct_betting,300,0.9649566666666668,1,0.018431252048067885
N5000_q0.05_o-0.002,5000,0.05,0.002,0.018000000000000002,0.02,0.049675999999999006,eb_grid,300,0.988984,0,0.012220974694293552
