dataset,method,epsilon,runs,cost_fraction,median_fraction,errors,error_rate,census_fraction
gsm8k,eb_predictable,0.05,3000,0.3670768249106687,0.16807044410413477,0,0.0,0.02666666666666667
gsm8k,fixed_plugin_0.1,0.02,3000,0.1003062787136294,0.1003062787136294,409,0.13633333333333333,0.0
gsm8k,fixed_plugin_0.25,0.02,3000,0.2503828483920367,0.2503828483920367,252,0.084,0.0
gsm8k,fixed_plugin_0.5,0.02,3000,0.5,0.5,130,0.043333333333333335,0.0
gsm8k,hoeffding_grid,0.01,3000,0.41847524247064827,0.2656967840735069,0,0.0,0.0003333333333333333
gsm8k,hoeffding_grid,0.02,3000,0.43876952526799384,0.3005359877488515,0,0.0,0.0016666666666666668
gsm8k,hoeffding_grid,0.05,3000,0.4810847371107708,0.4429555895865237,0,0.0,0.02666666666666667
gsm8k,normal_peeking,0.01,3000,0.15129887697805003,0.0222052067381317,159,0.053,0.0026666666666666666
gsm8k,normal_peeking,0.02,3000,0.16143363961204696,0.02450229709035222,115,0.03833333333333333,0.0016666666666666668
gsm8k,normal_peeking,0.05,3000,0.15007350689127105,0.03215926493108729,120,0.04,0.009
gsm8k,separate_arm,0.02,3000,0.46395661051556913,0.3683001531393568,0,0.0,0.0016666666666666668
gsm8k,serfling_spending,0.01,3000,0.4691378254211332,0.33537519142419603,0,0.0,0.0003333333333333333
gsm8k,serfling_spending,0.02,3000,0.4884418070444104,0.33537519142419603,0,0.0,0.0016666666666666668
gsm8k,serfling_spending,0.05,3000,0.5401768759571209,0.503062787136294,0,0.0,0.02666666666666667
hellaswag,completion,0.01,3000,0.9489168855425204,0.9521975135703029,0,0.0,0.0
hellaswag,completion,0.02,3000,0.9557447032043426,0.9616529504465068,0,0.0,0.0013333333333333333
hellaswag,completion,0.05,3000,0.9641427070565575,0.9698826825424619,0,0.0,0.0
hellaswag,eb_grid,0.01,3000,0.300402906671336,0.13797933811941865,0,0.0,0.0
hellaswag,eb_grid,0.02,3000,0.35601009747271345,0.1759761863071266,0,0.0,0.0013333333333333333
hellaswag,eb_grid,0.05,3000,0.3372649273332166,0.23594817019786377,0,0.0,0.0
hellaswag,eb_predictable,0.01,3000,0.28601050604097356,0.09551742251794781,1,0.0003333333333333333,0.0
hellaswag,eb_predictable,0.02,3000,0.34647393918169617,0.13981789528979163,0,0.0,0.0013333333333333333
hellaswag,eb_predictable,0.05,3000,0.3267713768750365,0.19663806688846086,0,0.0,0.0
hellaswag,fixed_plugin_0.1,0.02,3000,0.1001575906146034,0.1001575906146034,293,0.09766666666666667,0.0
hellaswag,fixed_plugin_0.25,0.02,3000,0.2500437751707232,0.2500437751707232,164,0.05466666666666667,0.0
